code,site,n_events,spacing_ratio,cv,mean_fri_yr,unfolded_r,poisson_sigma,span_start,span_end,adequate
usbak001,Baker Riparian,45,0.535,0.83,8.7,0.538,3.0,1516,1899,yes
usbm-100,Black Mesa - IMPD USBM-100,94,0.472,0.68,3.2,0.473,2.6,1583,1879,yes
uscas001,Canada Bonita South,20,0.49,0.55,21.7,0.492,1.4,1480,1893,no
uscbn001,Cerro Bandera North,77,0.619,1.0,6.7,0.619,6.3,1387,1895,yes
uschl001,Old Tree Cluster,24,0.467,0.87,28.4,0.469,1.2,1197,1851,no
usdug001,Dugout Riparian,54,0.561,0.68,8.1,0.563,3.9,1460,1889,yes
usgrr001,Green Ridge,35,0.621,0.59,11.5,0.624,4.2,1502,1892,yes
uslam001,La Marchanita,61,0.54,0.71,8.5,0.539,3.6,1367,1879,yes
uslyt001,Lytle Creek,57,0.515,0.87,7.3,0.512,2.9,1478,1889,yes
uspet001,Peter's Flat,48,0.577,0.65,10.4,0.557,4.0,1403,1893,yes
usrom001,Round Mountain,15,0.362,0.99,45.9,0.385,-0.3,1230,1873,no
ussqn001,Squirrel Springs North - IMPD USSQN001,73,0.622,0.69,5.9,0.611,6.1,1462,1886,yes
uswah001,Wah Wah Mountains - IMPD USWAH001,16,0.376,0.65,31.4,0.379,-0.1,1294,1765,no
